,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.9206,0.9178,0.9277,0.9179,0.9292,0.9193,0.8797,0.915
F1,S,0.2838,0.3198,0.3874,0.4875,0.4746,0.5235,0.3945,0.4627
F.5,43,0.3698,0.3907,0.4585,0.4832,0.5367,0.5328,0.414,0.4825
F2,C,0.2348,0.2791,0.3457,0.4962,0.4391,0.5214,0.4083,0.4559
Gmean,S,0.3707,0.439,0.4695,0.6406,0.5923,0.6871,0.6144,0.634
B_Acc,V,0.5998,0.6196,0.6553,0.7307,0.7003,0.7402,0.6821,0.7076
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.8008,0.8048,0.2899,0.6779,0.2379,0.2379,0.5361,0.6386
F1,S,0.4237,0.4753,0.3457,0.5024,0.3844,0.3844,0.469,0.4949
F.5,44,0.5437,0.5647,0.2524,0.4542,0.2807,0.2807,0.3685,0.4221
F2,C,0.3496,0.413,0.5483,0.5728,0.6095,0.6095,0.646,0.6061
Gmean,S,0.5411,0.5906,0,0.612,0,0,0.6085,0.653
B_Acc,V,0.6332,0.6588,0.5,0.6688,0.5,0.5,0.6495,0.6695
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.7629,0.7708,0.7617,0.733,0.7682,0.7045,0.7487,0.7175
F1,S,0.6223,0.6405,0.6424,0.6828,0.6436,0.676,0.6979,0.6827
F.5,45,0.6723,0.6865,0.6682,0.6206,0.6796,0.5941,0.6462,0.6082
F2,C,0.582,0.6049,0.6221,0.7603,0.6156,0.786,0.764,0.7805
Gmean,S,0.6959,0.7104,0.7144,0.7489,0.7144,0.7299,0.7575,0.74
B_Acc,V,0.7155,0.7277,0.7267,0.7539,0.7293,0.7458,0.7651,0.7516
,Dataset,Delta,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.8055,0.8055,0.8055,0.3112,0.3587,0.2585,0.447,0.3163
F1,S,0,0,0,0.3383,0.3094,0.3353,0.3225,0.3243
F.5,46,0,0,0,0.2469,0.2288,0.2411,0.2482,0.2367
F2,C,0,0,0,0.5404,0.4824,0.5501,0.4653,0.5151
