,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.8904,0.887,0.8937,0.8971,0.8969,0.892,0.8616,0.8616,0.8649
F1,S,0.8332,0.8285,0.837,0.8455,0.8473,0.8242,0.8129,0.8012,0.8113
F.5,36,0.8215,0.8169,0.8296,0.8342,0.8313,0.8419,0.7582,0.7697,0.7696
F2,C,0.8469,0.8419,0.8456,0.8585,0.8654,0.8087,0.877,0.8367,0.8588
Gmean,S,0.8803,0.8766,0.8814,0.8887,0.8916,0.8636,0.8772,0.8614,0.8722
B_Acc,V,0.8816,0.8778,0.8826,0.8894,0.8921,0.8675,0.8788,0.8619,0.8727
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,1,1,1,1,1,1,1,1,1
F1,S,1,1,1,1,1,1,1,1,1
F.5,37,1,1,1,1,1,1,1,1,1
F2,C,1,1,1,1,1,1,1,1,1
Gmean,S,1,1,1,1,1,1,1,1,1
B_Acc,V,1,1,1,1,1,1,1,1,1
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.8785,0.8785,0.8884,0.8802,0.8901,0.8851,0.8572,0.8802,0.8818
F1,S,0.8207,0.8213,0.844,0.8298,0.8544,0.8177,0.8375,0.8489,0.8519
F.5,38,0.8622,0.86,0.8599,0.8517,0.8415,0.9021,0.7678,0.815,0.8156
F2,C,0.7847,0.7877,0.8299,0.8104,0.8689,0.7487,0.9227,0.887,0.8932
Gmean,S,0.8482,0.8494,0.872,0.8597,0.8871,0.8358,0.8782,0.8864,0.8891
B_Acc,V,0.8543,0.8553,0.8743,0.8631,0.888,0.8482,0.8855,0.8877,0.8909
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.7082,0.7098,0.7051,0.7286,0.7504,0.7208,0.727,0.752,0.7489
F1,S,0.4621,0.4649,0.4714,0.6294,0.7023,0.6258,0.6918,0.699,0.705
F.5,39,0.5108,0.5159,0.5139,0.5849,0.6163,0.5771,0.5933,0.6172,0.614
F2,C,0.4242,0.4253,0.4374,0.6843,0.818,0.6873,0.8307,0.8072,0.8291
Gmean,S,0.5802,0.5823,0.589,0.7257,0.7844,0.7215,0.7694,0.7831,0.7863
B_Acc,V,0.6261,0.6274,0.6279,0.7285,0.7958,0.7252,0.7895,0.7919,0.8001
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.9443,0.9443,0.9473,0.9488,0.9271,0.941,0.879,0.8526,0.7936
F1,S,0.09,0.13,0.3343,0.4793,0.3463,0.4007,0.2765,0.2814,0.2268
F.5,40,0.1339,0.1964,0.4208,0.5269,0.3547,0.4448,0.2353,0.2262,0.172
F2,C,0.06787,0.09729,0.2879,0.4604,0.3606,0.3805,0.3453,0.3784,0.3394
Gmean,S,0.1077,0.1577,0.4208,0.6158,0.5575,0.5602,0.5791,0.6235,0.6044
B_Acc,V,0.5283,0.54,0.6276,0.7185,0.6719,0.6752,0.6698,0.6909,0.6713
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.9244,0.9244,0.9259,0.9259,0.8957,0.9289,0.8108,0.7806,0.7564
F1,S,0.1571,0.1571,0.2738,0.2238,0.4595,0.2994,0.3959,0.3642,0.3552
F.5,41,0.2551,0.2551,0.3771,0.3172,0.4268,0.3951,0.3067,0.2751,0.2636
F2,C,0.1142,0.1142,0.2185,0.1773,0.5056,0.2533,0.5608,0.5404,0.5465
Gmean,S,0.2193,0.2193,0.3613,0.2961,0.705,0.3868,0.7911,0.7831,0.7931
B_Acc,V,0.5459,0.5459,0.5909,0.5742,0.7373,0.6109,0.798,0.7908,0.8035
,Dataset,Delta,MSE,BCE,AccAim,F1Aim,F.5Aim,F2Aim,GAim,BAim
Acc,D,0.9604,0.9604,0.9692,0.9707,0.9736,0.9604,0.9721,0.9736,0.9736
